City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Kot Samaba,PK,2022-07-19 00:00:54,28.5522,70.4684,90.16,64,14,5.41
220,Man,CI,2022-07-19 00:00:55,7.4125,-7.5538,70.29,98,76,3.38
221,Rauma,FI,2022-07-19 00:01:55,61.1272,21.5113,50.04,84,67,5.5
222,Yurty,RU,2022-07-19 00:01:56,56.0498,97.6348,55.76,83,54,5.79
223,Azanka,RU,2022-07-19 00:01:56,58.0401,64.7893,60.73,85,40,2.71
224,San Quintin,MX,2022-07-18 23:59:25,30.4833,-115.95,74.61,64,1,9.98
225,Sakakah,SA,2022-07-19 00:00:34,29.9697,40.2064,90.36,18,1,8.43
226,Esmeraldas,BR,2022-07-19 00:01:57,-19.7625,-44.3139,64.62,56,2,9.48
227,Baruun-Urt,MN,2022-07-19 00:01:58,46.6806,113.2792,70.05,35,2,3.29
228,Ambon,ID,2022-07-19 00:01:58,-3.6954,128.1814,77.23,15,75,2.3
229,Coahuayana,MX,2022-07-19 00:01:58,18.7333,-103.6833,85.32,71,98,3.53
230,Bubaque,GW,2022-07-19 00:01:59,11.2833,-15.8333,79.3,85,99,10.67
231,Airai,TL,2022-07-18 23:59:51,-8.9266,125.4092,61.11,46,90,3.11
232,Abha,SA,2022-07-19 00:01:59,18.2164,42.5053,69.19,37,44,4.45
233,Ballina,AU,2022-07-19 00:02:00,-28.8667,153.5667,52.79,75,52,9.73
234,Maraa,BR,2022-07-19 00:02:00,-1.8333,-65.3667,77.83,83,86,1.16
235,Svetlyy,RU,2022-07-19 00:02:00,54.675,20.1347,60.85,80,99,8.7
236,Cartagena,CO,2022-07-19 00:00:23,10.3997,-75.5144,81.16,84,73,15.5
237,West Odessa,US,2022-07-19 00:02:01,31.8424,-102.4988,100.06,20,4,12.15
238,Najran,SA,2022-07-19 00:02:02,17.4924,44.1277,81.77,34,100,5.14
239,Los Llanos De Aridane,ES,2022-07-19 00:02:02,28.6585,-17.9182,69.55,94,100,19.57
240,Gracac,HR,2022-07-19 00:02:03,44.3006,15.8547,65.95,41,11,9.06
241,Lagoa,PT,2022-07-19 00:02:03,39.05,-27.9833,69.12,88,83,11.25
242,Isangel,VU,2022-07-19 00:02:04,-19.55,169.2667,80.22,75,83,10.87
243,Esil,KZ,2022-07-19 00:02:05,51.9556,66.4042,64.27,59,13,6.38
244,Padang,ID,2022-07-19 00:02:05,-0.9492,100.3543,69.85,73,12,3.51
245,Innisfail,AU,2022-07-19 00:00:29,-17.5333,146.0333,69.91,71,13,9.08
246,Amuntai,ID,2022-07-19 00:02:06,-2.4177,115.2494,77.05,83,77,0.78
247,Santa Maria,BR,2022-07-19 00:01:52,-29.6842,-53.8069,51.49,86,13,3.15
248,Labuan,MY,2022-07-19 00:02:06,5.2767,115.2417,81.43,70,100,5.3
249,Sur,OM,2022-07-19 00:02:07,22.5667,59.5289,83.35,92,40,7.02
250,Ojuelos De Jalisco,MX,2022-07-19 00:02:08,21.8667,-101.5833,63.41,65,76,12.55
251,Sao Joao Da Barra,BR,2022-07-18 23:57:31,-21.6403,-41.0511,71.08,87,2,9.6
252,Keti Bandar,PK,2022-07-18 23:59:41,24.1447,67.4497,82.31,86,98,8.99
253,Baykit,RU,2022-07-19 00:02:09,61.67,96.37,56.91,98,98,2.86
254,Kota Tinggi,MY,2022-07-18 23:57:48,1.7381,103.8999,84.18,91,54,1.77
255,Smyrna,US,2022-07-19 00:02:09,33.884,-84.5144,80.64,88,75,4.61
256,Casma,CL,2022-07-19 00:02:10,-41.0082,-73.1244,32.25,97,36,2.35
257,Yashkul,RU,2022-07-19 00:02:10,46.1711,45.3435,78.19,48,59,10.65
258,Amarpur,IN,2022-07-19 00:02:11,25.0333,86.9,83.8,76,99,7.0
259,Inhambane,MZ,2022-07-19 00:02:11,-23.865,35.3833,67.84,88,3,1.19
260,Anloga,GH,2022-07-19 00:02:12,5.7947,0.8973,75.92,82,84,12.62
261,Opatija,HR,2022-07-19 00:02:12,45.3392,14.3083,77.68,47,93,7.49
262,Litovko,RU,2022-07-19 00:02:12,49.2361,135.1742,59.97,98,100,1.66
263,Kloulklubed,PW,2022-07-19 00:02:13,7.0419,134.2556,81.1,69,88,2.48
264,Leningradskiy,RU,2022-07-19 00:02:13,69.3833,178.4167,34.84,93,100,19.39
265,Podgorenskiy,RU,2022-07-19 00:02:14,50.405,39.6429,53.47,93,0,7.0
266,Saint George,US,2022-07-19 00:02:42,37.1041,-113.5841,103.78,18,0,14.97
267,Acoyapa,NI,2022-07-19 00:03:15,11.9703,-85.1711,78.12,89,100,9.57
268,Azuaga,ES,2022-07-19 00:03:15,38.2667,-5.6833,75.96,46,0,7.05
269,Uyemskiy,RU,2022-07-19 00:03:16,64.4743,40.8524,55.45,100,40,4.47
270,Makakilo City,US,2022-07-19 00:03:16,21.3469,-158.0858,84.52,61,100,17.27
271,Ossora,RU,2022-07-19 00:03:16,59.2353,163.0719,63.36,79,90,8.66
272,Bayonet Point,US,2022-07-19 00:03:17,28.3267,-82.6834,88.23,80,5,1.01
273,Ponta Do Sol,PT,2022-07-19 00:03:17,32.6667,-17.1,70.43,80,8,5.21
274,Shahr-E Babak,IR,2022-07-19 00:03:18,30.1165,55.1186,74.05,12,0,3.69
275,Zharkent,KZ,2022-07-19 00:03:18,44.1628,80.0,69.21,42,5,2.39
276,Sambava,MG,2022-07-19 00:03:19,-14.2667,50.1667,69.4,76,50,14.34
277,Lixourion,GR,2022-07-19 00:03:19,38.2019,20.4314,77.32,67,0,7.14
278,Rio Gallegos,AR,2022-07-19 00:03:20,-51.6226,-69.2181,35.96,68,77,16.84
279,Sao Pedro Do Sul,BR,2022-07-19 00:03:20,-29.6206,-54.1789,52.11,85,28,2.04
280,Atikokan,CA,2022-07-18 23:58:45,48.7555,-91.6216,83.59,51,66,4.59
281,Atar,MR,2022-07-19 00:03:21,20.5169,-13.0499,92.66,33,42,5.99
282,Champaign,US,2022-07-19 00:03:21,40.1334,-88.2001,83.88,59,0,6.91
283,Pouembout,NC,2022-07-19 00:03:22,-21.1333,164.9,79.29,75,81,6.76
284,Kulhudhuffushi,MV,2022-07-19 00:03:22,6.6221,73.07,81.88,80,100,17.72
285,Catemaco,MX,2022-07-19 00:03:23,18.4167,-95.1167,79.72,79,79,2.21
286,Honningsvag,NO,2022-07-19 00:03:23,70.9821,25.9704,51.55,93,75,0.0
287,Amga,RU,2022-07-19 00:03:23,60.8953,131.9608,74.62,53,96,8.21
288,Katsuura,JP,2022-07-19 00:00:07,35.1333,140.3,80.62,88,100,21.59
289,Weyburn,CA,2022-07-19 00:02:39,49.6668,-103.8511,85.33,54,24,14.07
290,Sungaipenuh,ID,2022-07-19 00:03:24,-2.0833,101.3833,64.92,92,34,2.59
291,Coihaique,CL,2022-07-18 23:59:26,-45.5752,-72.0662,39.15,75,75,3.44
292,Bam,IR,2022-07-19 00:03:25,29.106,58.357,89.1,9,79,10.02
293,Tocopilla,CL,2022-07-19 00:02:22,-22.092,-70.1979,62.73,69,27,7.16
