City_ID,City,Country,Max Temp,Weather Descritption,Lat,Lng,Hotel Name
561,Moose Factory,CA,71.6,haze,51.2585,-80.6094,Cree Village Eco Lodge
562,Tuyen Quang,VN,76.82,overcast clouds,21.8233,105.2181,Khách Sạn Tuyên Thoa
564,Zaragoza,ES,89.02,clear sky,41.6561,-0.8773,INNSiDE Zaragoza
566,Hudson Bay,CA,71.74,scattered clouds,52.85,-102.3842,Norwood Motel LTD
568,Finspang,SE,79.32,scattered clouds,58.7058,15.7674,Finspångs Slott - Gästflygeln
569,Acari,PE,72.81,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
570,Aksu,CN,76.62,clear sky,41.1231,80.2644,Pudong Holiday Hotel
571,Half Moon Bay,US,83.05,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
574,Huichapan,MX,83.1,scattered clouds,20.3833,-99.65,Hotel Boutique Casa Bixi
575,Muroto,JP,78.51,overcast clouds,33.2833,134.15,Oota Ryokan
576,Cartagena,CO,87.42,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
577,Rudsar,IR,80.58,broken clouds,37.1376,50.288,Hotel Bahar
586,Azuaga,ES,85.62,clear sky,38.2667,-5.6833,Casa Rural La Hoya
587,Kahului,US,79.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
588,Tagusao,PH,78.8,overcast clouds,9.1924,117.8141,Caycay future beach resort
589,Missoula,US,80.85,clear sky,47.0166,-113.8009,Gold Creek Cabin
591,Muros,ES,71.1,clear sky,42.7762,-9.0603,Apartment Av. Castelao
593,Gigmoto,PH,81.48,overcast clouds,13.7796,124.39,Cj's Travellers Inn
594,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
596,Dongying,CN,71.83,overcast clouds,37.4564,118.4856,Wanda Realm
598,Hazorasp,UZ,82.24,clear sky,41.3194,61.0742,Kemping wifi hotel
599,Honiara,SB,76.19,scattered clouds,-9.4333,159.95,Heritage Park Hotel
600,Kita,ML,74.71,light rain,13.0349,-9.4895,Hôtel Chat Rouge
